"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"2","sp|P04114|APOB_HUMAN;sp|Q9ULK0|GRID1_HUMAN;sp|O75964|ATP5L_HUMAN;sp|Q7Z4Y8|AT5L2_HUMAN",21320916868.8176,15370171022.3343,23952153299.5389,20414007363.2566,19986349569.6594,26269882397.7606
"3","sp|P01024|CO3_HUMAN",100158725755.841,76591807285.4523,92179499061.8618,88054449671.3607,83921740077.8367,87207396484.3691
"4","sp|P0C0L5|CO4B_HUMAN",2181675214.48367,2305525653.35014,3152144849.80945,1259371598.52927,1538216432.84813,1593419096.25761
"5","sp|ALBU_HUMAN|;sp|Q8WY91|THAP4_HUMAN;sp|O75683|SURF6_HUMAN;sp|Q96JG6|CC132_HUMAN",247917638009.507,340216145101.107,272702005098.646,235624363595.798,167424917861.021,214250270375.178
"6","sp|P0C0L4|CO4A_HUMAN",835978275.368059,304812942.184495,537108892.171478,317889766.402952,347406704.561618,352059489.510971
"7","sp|P01023|A2MG_HUMAN",46806850056.195,36957489873.9274,52777688439.2437,99429418948.3993,111965413819.558,109816721498.835
"8","sp|P02751|FINC_HUMAN",6723526342.81784,5984004785.66161,6242076314.42529,10003879230.2526,8883984704.00042,6868928266.29969
"9","sp|P08603|CFAH_HUMAN;sp|Q02985|FHR3_HUMAN",10412540796.3993,9412071019.29459,10472586507.5906,14117149370.6103,14335758591.8499,13242604651.3301
"10","sp|P98160|PGBM_HUMAN",318326247.204207,201193811.696848,129611219.153349,275233631.614057,392402151.236768,335909971.643496
"11","sp|P12111|CO6A3_HUMAN",344109681.557196,297905000.151985,420977239.810078,340233456.054277,462511335.59107,409121119.309386
"12","sp|P01031|CO5_HUMAN",732844537.956104,692521188.759107,943569675.436381,988200455.942722,871655978.61394,796709548.128804
"13","sp|Q9Y6R7|FCGBP_HUMAN",391709868.055022,361803463.9527,412682121.784263,1025778479.44722,1077797908.73032,717038593.315924
"14","sp|P00450|CERU_HUMAN",21816752144.8367,17269855081.2745,15968102199.6926,21328067394.4472,23230207353.2166,24547267158.5631
"15","sp|P02671|FIBA_HUMAN",9748121526.53383,12693343484.7367,8678767234.50825,14320273821.986,12452228265.9134,12704287389.0809
"16","sp|P04275|VWF_HUMAN",203292463.167796,205511275.467166,255074879.293791,272186764.843422,257415811.211319,274541803.747088
"17","sp|TRFE_HUMAN|",1923840870.95378,4619686234.24092,6231707416.89302,518982973.264883,422747917.599078,331603433.545502
"18","sp|P00747|PLMN_HUMAN",4323683606.88581,8444959134.74322,4043870037.58449,3046866770.63532,4499544667.51493,3068408394.82039
"19","sp|CO5_HUMAN|;Int_P01031ups|CO5_HUMAN_UPS",314359564.996055,306539927.692622,325583382.513213,288436720.953477,267879868.577633,249779209.683625
"20","sp|P02774|VTDB_HUMAN",17056733495.0541,14938424645.3024,14620145520.4978,10359347020.1601,12138306544.924,10098831839.7948
"21","sp|Q14624|ITIH4_HUMAN",6614442582.09366,5975369858.12097,5972484978.58632,4326550814.30215,6111009501.92726,5253976479.55211
"22","sp|P06727|APOA4_HUMAN;sp|Q9BT92|TCHP_HUMAN;sp|Q14980|NUMA1_HUMAN;sp|Q15020|SART3_HUMAN;sp|P61129|ZC3H6_HUMAN",4512101011.77304,5664512466.65803,16382858100.9833,14523398273.3617,12766149986.9028,13888585366.0292
"23","sp|P10643|CO7_HUMAN",3847681741.90756,3410796378.55171,3494318468.37429,14117149370.6103,12033665971.2609,9700477065.73044
"24","sp|P20742|PZP_HUMAN",129908842.316982,148520753.698961,311066925.968038,49460803.90998,54099176.5838423,37466881.4525438
