"0","1","1","1","2","2","2","LogFC","Zstatistic"
"sp|Q12913|PTPRJ_HUMAN","4050074.15356863","3634211.46547855","4683735.84565476","8590681.00358423","9704651.1627907","8731511.83970856",-1.74441370255197,-0.0177511047500336
"sp|Q9NQ79|CRAC1_HUMAN","2579003.49256209","4049486.98451485","3763533.87889286","13576344.0860215","5109603.63417054","6678067.17157013",1.60168696928514,0.0163852106245868
"sp|Q6EMK4|VASN_HUMAN","81683660.1307189","114557095.709571","74772619.047619","95111111.1111111","120271317.829457","109143897.996357",-0.725631160067922,-0.00744290042709618
"sp|Q8WZ75|ROBO4_HUMAN","13760834.0302484","23448184.8184818","3407227.26340476","8513978.49462366","10451162.7906977","9589071.03825136",2.55155036026973,0.0258393867541378
"sp|P07998|RNAS1_HUMAN","52870588.2352941","32629702.970297","59869047.6190476","112752688.172043","160914728.682171","128633879.781421",-4.96518752702297,-0.0505517318638086
"sp|P07737|PROF1_HUMAN","12255623.424732","8210476.56010561","36940476.1904762","19789247.311828","13851937.9844961","39759562.8415301",-0.912283849103996,-0.0091091544395965
"sp|P24592|IBP6_HUMAN","19581699.3464052","18504290.4290429","32991666.6666667","71946953.4050179","95387596.8992248","63849180.3278689",0.437011790242696,0.0043045470646726
"sp|CATD_HUMAN|","14826143.7908497","3267667.64364356","2185200.26985714","10584946.2365591","13354263.5658915","9355191.2568306",-2.81793386113837,-0.0276122134037778
"sp|P55290|CAD13_HUMAN","9272930.13495425","6381757.50361716","12164720.0562262","5859608.27103943","13934883.7209302","7574911.37060838",0.83437729972865,0.00794715259799385
"sp|P11226|MBL2_HUMAN","12336762.2338693","19493069.3069307","12025738.1816786","28379928.3154122","48440310.0775194","47555555.5555556",-1.73167191056154,-0.0174227481768797
"sp|Q10588|BST1_HUMAN","2435522.91675817","2176421.07811221","1724543.52210714","2731607.15650896","4870466.4518062","5858572.8211439",2.80171087714873,0.0272480037486871
"sp|P01034|CYTC_HUMAN","145464052.287582","166679867.986799","424178571.428571","424931899.641577","628728682.170543","481012750.455373",-0.186875965296504,-0.0017888598190534
"sp|P04406|G3P_HUMAN","15105882.3529412","41811221.1221122","37067857.1428571","5306089.99580645","5873611.22192248","9900910.74681239",3.00068968400339,0.0297811680923521
"sp|Q92820|GGH_HUMAN","24896732.0261438","21611881.1881188","8747508.26360714","2930827.05015054","4900414.40725581","3949418.40142077",-4.78835048889771,-0.0472681566694214
"sp|P04180|LCAT_HUMAN","32309803.9215686","16950495.049505","37450000","9434408.60215054","17750387.5968992","12161748.6338798",1.15529056868121,0.0111853745950119
"sp|P05109|S10A8_HUMAN","465764705.882353","155379537.953795","360488095.238095","25848745.5197133","21731782.9457364","169173041.894353",-1.63527920581956,-0.0163230256154401
"sp|O14498|ISLR_HUMAN","41401307.1895425","36867326.7326733","33628571.4285714","25618637.9928315","25547286.8217054","35237887.0673953",-4.14656623907806,-0.0409430240704882
"sp|P33151|CADH5_HUMAN","39023529.4117647","39127392.7392739","28533333.3333333","42800000","53997674.4186046","59639344.2622951",-3.21812200023952,-0.0315150259201021
"sp|P06702|S10A9_HUMAN","246169934.640523","80797359.7359736","202535714.285714","15877419.3548387","13105426.3565891","71645173.0418943",-4.40396381524926,-0.0448442449833596
"sp|P39059|COFA1_HUMAN","6026033.9963268","5875853.44648185","1626653.63713095","5550254.28373477","8792248.0620155","7242090.13690346",2.57572926817476,0.0263558290891101
"sp|P00558|PGK1_HUMAN;sp|P07205|PGK2_HUMAN","7150886.99104575","18928052.8052805","29170238.0952381","1334992.30351254","2548602.32666667","5785180.7688306",-0.692807753883468,-0.00727220696985862
"sp|P14625|ENPL_HUMAN","2330025.81917647","1576742.47240924","919331.422914286","2670582.90193548","5188802.9339845","5493830.77599271",2.2699695549771,0.0221808191925
"sp|P54108|CRIS3_HUMAN","16924183.0065359","5039700.99866667","8495994.23429762","23394265.2329749","16008527.1317829","11304189.435337",2.62579829894811,0.0249898301357034
