"0","1","1","1","2","2","2","LogFC","Zstatistic"
"sp|P01880|IGHD_HUMAN","60013635.4845749","111076848.10052","36174832.4557258","383031149.376682","762768287.558233","98205332.4080385",0.662868965688882,0.00630115903617357
"sp|P07333|CSF1R_HUMAN","62622923.9839043","54696932.7767714","82151225.6606287","207846360.126882","299804647.783584","266497376.406429",0.965944250690968,0.00969929070797549
"sp|P13611|CSPG2_HUMAN","51895849.042217","44178291.8581616","36275879.4737585","30286183.9042028","50069415.6672584","65784982.286154",-2.6881310763482,-0.0276764323100832
"sp|Q92859|NEO1_HUMAN","6198391.92520192","3420564.68638738","6556837.57448054","9701328.05409245","6986968.27844791","9605410.56132841",4.11918599878435,0.0403013717601896
"sp|Q7Z7G0|TARSH_HUMAN","19907904.846735","16156632.4509848","32941327.8786777","48497484.0296057","32631798.3982132","72814637.4905756",-3.43163585429684,-0.0343345892929325
"sp|P35555|FBN1_HUMAN","2138289.13354856","2337662.14767069","4036569.74157632","7566399.5546815","7098378.38686536","6884558.06594577",-7.94680682726712,-0.0789435942492803
"sp|P02652|APOA2_HUMAN","9480414880.89662","7287314428.41293","7608840457.86635","6383852489.61137","5853328837.67949","4333205372.27777",-4.55524355825481,-0.0457322673247797
"sp|P19652|A1AG2_HUMAN","4976976211.68375","7034867046.3663","5436329570.16214","3998568071.01239","5741157030.68563","4532553803.44793",-2.15712407357853,-0.0210909493897699
"sp|P01859|IGHG2_HUMAN","24546639.9566538","10097895.2818655","13136112.344258","47903637.2863861","115231038.09369","335744726.181328",-0.694478613832607,-0.00698000037664047
"sp|HBA_HUMAN|;sp|P69905|HBA_HUMAN","114035571.452171","113601321.920987","5022036796.22785","2494156321.52258","70566264.036136","140593104.088431",-0.0202317223653316,-0.00020060239676104
"sp|P49908|SEPP1_HUMAN","117901184.04377","88356583.7163231","88315093.7606266","164297598.95744","181514378.590061","166823160.821348",-3.93241135537168,-0.0395315194833823
"sp|P05362|ICAM1_HUMAN","17781817.9213555","13127263.8664251","14752864.632782","48200560.6579959","137665399.492462","110166238.278248",1.79280208404724,0.0181531143070795
"sp|P13647|K2C5_HUMAN","2527061.91836974","13379711.2484718","7738998.32453336","28504643.6745438","117270525.493579","48263304.388566",-1.77664205289649,-0.0178455495434564
"sp|P36222|CH3L1_HUMAN","37883003.3976705","39297642.4719266","36073785.437693","81258029.3638904","140724630.592294","80368893.8296555",-1.63074598721893,-0.0160059244168951
"sp|P06276|CHLE_HUMAN","38559485.6012003","32229115.7746207","45875346.1868701","34937983.3927568","38546311.8578893","48368224.6154976",-0.722759884038333,-0.00710578911693704
"sp|P12955|PEPD_HUMAN","7032435.88236652","6194222.01184476","7565397.97223008","20883610.4698914","14072463.0592294","21508646.5209914",1.51301050933151,0.0152291305947097
"sp|P00740|FA9_HUMAN","52475690.9309568","75145170.7225491","38701007.9065446","34641060.021147","67914930.4162812","42702532.3611877",5.71565732774712,0.0546201232658326
"sp|P05154|IPSP_HUMAN","20487746.7354749","33491352.6848539","31122481.5540881","25634384.4156487","34773260.1680959","22138167.8825813",0.0999777162238325,0.000955210380420625
"sp|O95445|APOM_HUMAN","336308295.469116","198591940.543355","275858359.229417","128666794.36426","85352547.6853264","93798682.8769086",-2.48532187424924,-0.0250724547139965
"sp|Q9NZP8|C1RL_HUMAN","31987944.195482","25413036.4593615","23645002.2196643","62155959.123658","30592310.9983249","32315429.8949529",-1.06752602141679,-0.0109601705266574
"sp|Q9Y279|VSIG4_HUMAN","35466995.5279211","42074563.6744396","50018273.926213","96994968.0592115","153981298.691568","209840453.86333",2.24810703604456,0.0231556125757944
"sp|P35442|TSP2_HUMAN","14302766.5889164","10855237.4280054","6449083.94258359","12668730.5220195","11217180.6993858","14898672.2242964",-3.32530357361672,-0.0326660767216439
"sp|LYSC_HUMAN|","82724109.4602192","70432819.5910118","456732521.508046","228630996.13957","225363357.68766","273841792.291646",3.87805388541019,0.0400850627874441
