"0","1","1","1","2","2","2","LogFC","Zstatistic"
"sp|P01877|IGHA2_HUMAN","772156115.171906","334913526.848539","818480846.065304","3662054916.52125","2233238702.87772","3116130739.87045",1.67229635922305,0.0169989757630576
"sp|P01860|IGHG3_HUMAN","1014723305.29475","1203332521.08897","976114194.1964","7155853255.79693","3701669630.79731","4196809077.2666",2.89036642013691,0.0288962480944903
"sp|Q06033|ITIH3_HUMAN","661986156.311334","544444853.947248","353664563.114638","387979872.236846","507832362.572193","446960166.728893",-2.02279330878431,-0.0198580112739081
"sp|Q92954|PRG4_HUMAN","135296440.705966","95088513.9042334","154601937.590113","373133703.656354","246777975.386487","311613073.987045",-4.61357697918366,-0.0472511490663486
"sp|Q07954|LRP1_HUMAN","5033073.90430078","3547903.16401254","6200820.99348208","9996420.17753098","13868514.3192406","11646145.1894148",-3.38594694998743,-0.034647902794995
"sp|Q99715|COCA1_HUMAN","31891303.880692","9172254.88102783","18895792.3721249","5399951.70010657","13460616.8392629","9964063.00223958",4.54840728556748,0.0458289713028389
"sp|Q96PD5|PGRP2_HUMAN","856233189.039185","891980749.898119","844753070.75382","630467292.384875","625102888.065771","610635720.742291",2.99996063578387,0.0290486880595118
"sp|TRFL_HUMAN|","10243873.3677374","8499061.86223679","34355986.1311362","11085139.206767","8340662.5971252","26964498.3214379",-0.488236213432414,-0.00467347908449663
"sp|P02749|APOH_HUMAN","6890454444.52527","7893188145.32486","9771246643.76727","5235748786.05335","5241482617.71299","5392899664.28759",1.39440457482842,0.0138529862036142
"sp|P51884|LUM_HUMAN","2213063208.69044","1859695714.41023","2031045062.45835","4691389271.43533","4619438960.74706","4616489984.99327",-1.44751392548867,-0.0148593144911244
"sp|Q14520|HABP2_HUMAN","359501971.01871","252447382.046637","285963061.032693","252384865.868356","254935924.986041","240267319.673513",-0.917370466633984,-0.00886249059323132
"sp|O43866|CD5L_HUMAN","122733199.783269","110235356.827032","93165350.6261988","508728710.024844","1172705254.93579","1143630473.55515",-1.80803547286034,-0.0181946952610068
"sp|Q16610|ECM1_HUMAN","212608692.537947","296204928.268055","246554723.999919","437467100.838484","329377215.081964","384008030.569894",9.95399928215735,0.0971019740407103
"sp|P05160|F13B_HUMAN","58757311.3923053","84990618.6223679","103067958.393409","91749321.8274378","116250781.793635","96736449.2309952",1.84084127052605,0.0184710305385614
"sp|P00748|FA12_HUMAN","724802360.924818","486381956.076521","557779539.5408","518626155.745172","593490833.367502","431222132.689144",-2.10430769697079,-0.0203094455105564
"sp|P07942|LAMB1_HUMAN","5976804.25441802","5592293.96925553","12428783.2180287","29395413.7893733","42115414.8076939","37456521.0146044",0.596935589420569,0.00603184439997508
"sp|P03951|FA11_HUMAN","56534584.1521358","65552170.2047768","150560056.868803","59582623.2363728","59756980.8167279","55712640.5007142",0.962430930921921,0.00984295254409912
"sp|P12109|CO6A1_HUMAN","153658100.516061","139687551.399139","107109839.114719","126687305.220195","129507449.892909","231873701.51898",-2.77321691976044,-0.0272956121352491
"sp|P26927|HGFL_HUMAN","44357904.4885989","56379915.323749","39711478.0868722","38006191.5660584","48743748.857331","34623674.8874495",-4.23203211195599,-0.0426875548280649
"sp|P01833|PIGR_HUMAN","36819959.9349808","25160589.0773149","142476295.426183","61067240.0944219","74645238.8359127","73339238.6252339",0.751266912675754,0.00789464236752303
"sp|P35443|TSP4_HUMAN","24836560.9010238","10771088.3006565","11418313.0377012","14945143.0376948","6329114.55220312","13954390.1819115",-4.37247048026079,-0.0426188841545652
"sp|P04220|MUCB_HUMAN","40975493.4709497","277891.265388208","469414.972654909","2866884.07352476","355744.623101768","177116.06422912",1.15496124683237,0.0111302873225507
"sp|Q03591|FHR1_HUMAN","250298415.306037","127065182.296807","97308278.3655417","151430919.521014","158060273.491345","141642306.357748",6.57338236813639,0.0657196629883718
