"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"14","sp|Q14204|DYHC1_HUMAN",3513266.53889194,3676649.94678922,8348619.827,7467102.08687648,11172626.983231,11279209.1585626,2313544.34622739,18047463.0723855,17861802.3381425,19702223.2189828,18447829.3230123,15953177.2794563,15485338.0874606
"15","sp|P15924|DESP_HUMAN",962194.850475939,1057553.25748516,1327415.466,1165535.11127968,1164117.59319731,1263811.1484497,802179.821362457,38401744.7329707,36950751.4018063,4293203.46820605,4377618.95501176,14993587.6686619,15485338.0874606
"16","sp|P98160|PGBM_HUMAN",3314794.90068268,3606017.00142976,9750026.233,8378030.42624686,13828415.3644908,13696182.5496831,2480910.66538008,11665374.8322339,11775566.9213094,31321483.0660753,32454514.5497438,11877356.9199919,13102978.3816974
"17","sp|P02549|SPTA1_HUMAN",10010756.3343172,10323503.1112344,1.1e+07,9318761.21593057,6496731.39763207,5976545.57198721,13787261.6181617,2187297.59902254,1983000.39777017,2795914.45080691,2880120.58780796,3452583.6832788,3430454.42840607
"18","sp|P11277|SPTB1_HUMAN",9827072.73185266,12170866.8258764,10600000,9049950.79624026,6630879.76712554,6478703.12154835,13409528.4231436,4906680.64077741,5448831.73048309,2763753.57556997,2586796.54865678,3673760.56861064,3983459.2045903
"19","sp|P04114|APOB_HUMAN",8082078.50843957,9345487.02701223,1.3e+07,11558848.0466831,10806311.3444365,11100174.0925536,10812612.707394,5514729.97242671,5576894.42027174,12199678.5899479,11963238.9408371,7793622.26844535,7865519.04552708
"20","sp|P02751|FINC_HUMAN",11434304.2534173,13203217.1369998,29600000,24999369.0311983,34433670.0466791,32405346.9476163,12984578.5787482,42336905.8540171,43904582.8464267,110803956.222998,126060167.040584,36944200.015583,36211867.5276001
"21","sp|P35555|FBN1_HUMAN;sp|P35556|FBN2_HUMAN",2127108.32125598,2382223.15625771,13500000,11827658.4663734,13095784.0869019,12353419.5546161,3063666.21431216,9582440.58695081,9604320.19514265,53212842.1982785,54831048.2656198,11744622.7354304,11841247.7787553
"22","sp|TRFE_HUMAN|;sp|P02787|TRFE_HUMAN;sp|O95714|HERC2_HUMAN;sp|Q9Y4I1|MYO5A_HUMAN",87708920.1768158,92368185.7320976,1.12e+08,106628133.143821,153852568.293673,145913578.797278,59020811.7215828,98243332.815091,94081248.9566286,173446922.355148,194727087.298463,134342545.511211,146515121.904435
"23","sp|P02545|LMNA_HUMAN",25945308.8481157,42380696.9829624,39300000,41576011.5787671,45606297.0299101,53352449.670661,29557622.5101687,56720598.2274973,54267155.1952727,79314078.0866746,80965473.1398872,54696607.8152787,52173677.5562134
"24","sp|P08670|VIME_HUMAN;sp|P41219|PERI_HUMAN",149702136.008597,184736371.464195,2.54e+08,226696787.272157,394705100.801029,367021885.318306,72241473.5472174,404371728.990292,384505973.996656,580962992.354623,548310482.656198,540968643.085322,494339638.945857
"25","sp|P01023|A2MG_HUMAN",52349826.7023927,59767649.5913573,83500000,74639693.2006746,76468389.5983433,72598719.266621,28282772.9769825,36773402.2001239,35314555.767778,55233583.0412511,58076499.7205942,49898659.7613069,47647194.1152633
"26","sp|P78527|PRKDC_HUMAN",1043842.00696421,1142208.57093651,2181798.663,1929301.20525781,2697713.8068775,2653640.60130091,602105.296359418,14247997.1624096,13771313.2530717,9969580.23404787,10393415.1550219,12354716.2389774,12388270.4699685
"27","sp|O43707|ACTN4_HUMAN;sp|Q9H254|SPTN4_HUMAN",18184676.643989,19397319.0037405,44700000,44532926.1953605,66852604.0799887,72330166.6676076,8971163.38168059,83181164.386258,80446285.3397259,134884451.268421,136479774.343396,73288656.5244194,61941352.3498423
"28","sp|P16157|ANK1_HUMAN",11801671.4583464,13637890.9522097,13700000,10752416.7876122,8560515.03191069,7555403.92759643,14023344.8650481,2836846.57264841,2848558.94885364,3416184.04701183,3619527.62153559,4088643.84122565,4015429.51413304
"29","sp|P18206|VINC_HUMAN",6979976.89365236,8041465.58138261,1.6e+07,14694969.6097367,25184200.167119,25691531.9722814,3604772.62588847,17097596.5948915,16498305.9764523,30984692.9255799,32625327.7842162,14993587.6686619,14294158.234579
"30","sp|P26038|MOES_HUMAN",4638010.96222953,4589390.96366304,7830621.858,6612595.6281118,12912626.2675047,13248594.8846608,2262081.18580357,19133024.76095,20043396.516847,22901729.5536895,19301895.495374,16432972.0848535,16319163.9844777
"31","sp|P12814|ACTN1_HUMAN;sp|Q08043|ACTN3_HUMAN",8633129.31583318,10432171.5650369,2.3e+07,26522628.0761101,34799985.6854736,40551442.4510226,6421464.31530821,57263379.0717796,52085561.0165683,100700252.008135,96167851.0079251,46899942.2275745,34544215.7335659
"32","sp|P13647|K2C5_HUMAN;sp|O95678|K2C75_HUMAN",12674168.570053,14507238.5826294,33700000,32526060.7825269,28755777.645365,28287540.4294109,8074047.04351253,1682620617.27504,1867990015.51567,190286429.37992,165518024.203693,666914779.502082,794516961.872016
"33","sp|P11021|GRP78_HUMAN",18689806.5507665,22711706.8447158,33500000,27149852.3887208,42584193.0098558,40461924.9180181,12229112.188712,105028093.368619,104580170.941644,180182725.165057,199851484.332633,157132798.767577,146515121.904435
"34","sp|Q7Z406|MYH14_HUMAN",2388603.41988653,1822454.35077842,4086972.866,4892773.79342874,8010986.46336273,7403688.63781452,914690.528992554,5561937.28472028,5294219.55494123,8226114.67057952,8475849.36114296,5860763.61715995,5853488.33652917
"35","sp|P60709|ACTB_HUMAN",394919745.298752,429783734.78876,8.6e+08,884386280.781103,1144736371.23268,1342762995.06697,255442073.131011,1831885349.45266,1854355051.89877,2121777885.12123,2152246754.35143,1121520357.61591,1203091651.4104
"36","sp|O75369|FLNB_HUMAN",1469307.36182972,1698836.60870681,4269080.371,3874837.11008072,6092116.41846523,5724977.32070722,903538.209018718,13563085.8295194,13169974.0959377,8897513.73190942,9513642.31170398,8306441.05162576,8799043.34067673
"37","sp|Q00610|CLH1_HUMAN;sp|P53675|CLH2_HUMAN",7439185.8998137,8367470.94279002,1.8e+07,14336555.7168163,20605254.6821883,23722146.2461832,5571564.62651742,37587573.4665473,35723604.6762851,39909631.6487089,38262164.5218032,38863379.2371717,42048648.8067199
"38","sp|Q15063|POSTN_HUMAN",5097219.96839087,5177658.92474273,7168293.68,7204576.58830771,3777435.84297931,4188220.57640183,883514.257415756,26867651.7919724,27133577.5976364,123265191.421329,125206100.868222,31666457.156214,33591271.8512607
"39","sp|P02533|K1C14_HUMAN",2411025.22400008,2857852.55557347,5515006.286,4701034.66237716,4739370.66882611,4385343.04667006,2050279.68776245,213041481.380791,201797461.53016,14199284.1103994,8654787.84126081,27708150.0116872,29779496.3220396
"40","sp|P68371|TBB4B_HUMAN",42476833.0699239,45477747.9163328,79600000,72578813.3163823,116305215.317241,119058318.895938,18556143.2052656,229324906.709259,205887950.615231,198706182.892306,203267749.02208,176324590.983464,190588776.461053
"41","sp|TRFL_HUMAN|;sp|Q86TE4|LUZP2_HUMAN;sp|P08582|TRFM_HUMAN",14051795.588537,13746559.4060122,23700000,21594437.0484545,16575782.6554493,15397015.6767679,17895110.1139839,139766067.402685,139076628.892408,28963952.0826073,31088008.6739651,38143687.0290759,34425097.7482778
"42","sp|Q9P2E9|RRBP1_HUMAN;sp|Q8N4C6|NIN_HUMAN",1045343.94323829,1170440.65642474,2003463.496,1793967.93281489,2199186.14122465,2106309.18259006,651262.440011297,9174466.08090204,8957570.76385548,14944409.2951629,13520778.8346702,14153946.7592168,13698568.3081382
"43","sp|P46940|IQGA1_HUMAN;sp|Q86VI3|IQGA3_HUMAN",4638010.96222953,5225596.56187049,7605047.23,6860236.7631055,10897890.2541351,10921139.0265447,1935485.44509585,13216365.1106116,13907662.8892408,16023182.5519617,18960269.0264293,21470817.5415239,20369175.4842751
"44","sp|P14625|ENPL_HUMAN;sp|Q58FF3|ENPLL_HUMAN",7806553.10474277,8530473.62349372,16600000,15142986.9758872,21337885.9597772,19872892.3269912,5052181.48336749,48443190.3521927,47722372.6591594,99689881.5866483,101975500.979985,94519576.6632447,101845877.421375
"45","sp|P55072|TERA_HUMAN",3502817.90518743,4077275.37139061,6541033.472,6094066.54432214,10714732.4347379,10384033.8285179,2478666.94483883,19947196.0273735,19770697.2445089,21217778.8512123,25792798.4053227,23270048.0617633,22275063.2488856
"46","sp|P02538|K2C6A_HUMAN;sp|O95678|K2C75_HUMAN",10837332.5454076,12551206.414185,3e+07,29569146.1659335,27656830.7289816,27123812.5003528,6043731.12029008,1560494927.31153,1745275342.96355,161154082.227065,134259202.295256,664515805.475096,783796343.196082
"47","sp|Q04695|K1C17_HUMAN",2623907.92088227,2980698.84888135,4979357.994,4286454.60461917,5447777.41171632,5121166.79736056,2276402.47575302,75175146.9330945,49222218.6570187,17007902.0950194,12615175.8992935,76047476.6554532,81595819.9223885
"48","sp|P05787|K2C8_HUMAN;sp|O95678|K2C75_HUMAN",19332699.1593924,19071313.6423331,38700000,41217597.6858467,62548395.3241538,66780079.6213308,8687863.48541699,799244793.205644,764921458.908241,157954575.892358,127597486.150835,281879448.170844,318045020.719383
"49","sp|P11142|HSP7C_HUMAN",12398643.1663562,12714209.0948887,21300000,17024659.9137193,29030514.3744609,28377057.9624153,7224147.35472174,75039451.7220239,69674664.0823728,103899758.342841,156123296.307715,64412452.6245716,71113437.2170305
"50","sp|P0C0L4|CO4A_HUMAN",3252240.26694098,3824623.20547592,12900000,11290037.6269928,8184451.26325232,6309496.05479238,5241048.08087656,3667749.70993383,3849152.04795578,12401904.7383615,13114551.1198688,5227319.03180703,5343007.51016301
"51","sp|P24821|TENA_HUMAN",409282.799593879,611659.161985873,1459926.642,1381787.74100904,1700747.0644301,1329985.03324103,265557.516853805,12536861.2888745,11333011.6250107,35194569.6817728,42190868.914667,14153946.7592168,12745624.4258329
"52","sp|P08238|HS90B_HUMAN;sp|Q58FF7|H90B3_HUMAN",7806553.10474277,8856478.98490112,10800000,10752416.7876122,18956834.3076132,19425304.6619689,3935455.61777306,62012711.4592495,57130497.5548223,53212842.1982785,57393246.7827049,50738300.6707519,46813368.2182462
"53","sp|P02671|FIBA_HUMAN",8082078.50843957,9888829.29602457,58700000,63887276.4130624,29488408.9229539,29809338.4904868,42542201.0889169,15333558.8509742,14453061.4339169,30479507.7148367,29892316.0326588,52177685.0869435,50148671.8063147
"54","sp|P07437|TBB5_HUMAN",60615588.8132968,66831099.0885177,1.25e+08,114692445.73453,176747295.718326,174559189.358706,28424422.9251143,388088303.661824,354509054.03947,338474091.197911,343334601.289395,280679961.157351,284691984.838698
"55","sp|P13639|EF2_HUMAN",4460286.6045837,5344042.34407193,6967673.143,6237515.01875236,11538942.6220255,10742103.9605358,2022230.82181699,43558162.7536522,40086793.0336939,40414816.859452,41336802.7423053,44261070.79789,43954536.5713304
"56","sp|P07900|HS90A_HUMAN;sp|Q58FF7|H90B3_HUMAN;sp|Q14568|HS902_HUMAN;sp|Q58FG0|HS905_HUMAN",9184180.12322679,9943163.5229258,12300000,12275675.8325239,20330517.9530925,19604339.7279778,5949297.82153555,53735303.5839448,55903350.8293011,38562471.0867271,39628670.3975819,46899942.2275745,43120710.6743133
"57","sp|P08603|CFAH_HUMAN;sp|Q02985|FHR3_HUMAN",6107479.78194581,6411438.7743456,17100000,12544486.2522142,11447363.7123268,11189691.6255581,7318580.65347627,7871163.52390557,8241682.76662193,23575309.8346803,24084666.0605994,12354716.2389774,14294158.234579
"58","sp|P08727|K1C19_HUMAN",7944315.80659117,8639142.07729619,19900000,17562280.7530999,21795780.5082703,21036620.2560492,4721664.93772663,189973295.498795,169073548.849593,53044447.1280308,49535837.9969774,52417582.4896421,55032509.2031292
"59","sp|P49327|FAS_HUMAN",1973651.0242639,2434463.70826686,2932285.833,2687169.99109115,2957488.7253698,2721306.31636879,542996.906724404,12050819.4349487,11603816.7745619,5377883.15683447,5519256.50987339,9596291.19137767,9923360.79254424
"60","sp|P07355|ANXA2_HUMAN;sp|A6NMY6|AXA2L_HUMAN",51431408.69007,54877569.1702462,1.6e+08,135301244.577453,176747295.718326,178139890.678885,22144608.5579379,129724621.783463,135804237.624351,178498774.46258,165688837.438166,189518948.131887,191779956.313935
"61","sp|P07237|PDIA1_HUMAN",9459705.52692359,11301519.1954566,12100000,12096468.8860637,17857887.3912299,17455918.9358706,4164287.65838724,68254691.1684956,69265615.1738657,57927904.1652145,59272192.3619005,65611939.6380645,70517847.2905897
"62","sp|P08729|K2C7_HUMAN;sp|Q5XKE5|K2C79_HUMAN;sp|Q14CN4|K2C72_HUMAN",18092834.8427568,18690974.0540245,38800000,39156717.8015544,64654710.247222,66511527.0223174,7129714.05596721,762607086.216591,728107057.142604,155765439.979138,125035287.63375,248293811.793041,285883164.69158
"63","sp|P04259|K2C6B_HUMAN;sp|O95678|K2C75_HUMAN;sp|Q5XKE5|K2C79_HUMAN",10469965.3404785,12116532.5989752,28900000,28404301.0139422,26557883.8125983,25960084.5712948,5618781.27589469,1479077800.66919,1663465561.26213,156270625.189881,129134805.261086,614137350.908392,742105048.345227
"64","sp|P52272|HNRPM_HUMAN",1294801.77644434,1311258.2805349,2552064.773,2281639.03468847,3745742.31098446,3468866.9722027,635685.060647792,11008685.2617886,11971835.0519473,9930921.34836367,10590384.2036017,13674151.9538197,14889748.1610198
"65","sp|P02675|FIBB_HUMAN",8357603.91213638,9128150.11940729,53800000,50536358.9017773,25001042.3477218,28018987.8303975,25355340.715592,16419120.5395387,14998459.978593,42772347.84292,38432977.7562756,47979480.5397181,53007503.4532305
"66","sp|P10809|CH60_HUMAN",5372745.37208767,5759428.05153079,7237955.512,7109720.01020757,9707364.42805316,8835084.6699976,1887290.02857298,32159765.0237245,37087101.0379753,24417285.1859189,22547346.9503483,36104559.1061379,35258923.6452949
"67","sp|P30101|PDIA3_HUMAN",7117739.59550076,7606791.76617274,10800000,10035589.0017714,15385256.8293673,13606665.0166787,3143053.15197308,43558162.7536522,44313631.7549338,42940742.9131678,42703308.618084,40782558.4587604,39904525.071533
"68","sp|Q05707|COEA1_HUMAN",802219.915105749,955320.321756378,5938044.861,5492597.67216164,6389801.95782664,5715586.62892579,1954335.39012454,1781720.18551503,1719077.98832672,23743704.9049281,23913852.826127,8048244.48136108,8205712.58807722
"69","sp|O60437|PEPL_HUMAN",1150930.74619575,1365365.50555624,2854332.21,2553021.71382928,4249074.684282,3701080.48191129,481688.317078207,2414564.74620485,2303823.0715903,1829593.42475406,1896880.79800206,2160374.94423277,2275002.38567763
"70","sp|P00558|PGK1_HUMAN;sp|P07205|PGK2_HUMAN",31823184.1269808,38685969.5536785,48500000,42292839.364608,69691550.2806458,67317184.8193575,18036760.0621157,272747374.251841,287697732.316647,166879514.615487,172521366.817059,149935876.686619,172721078.66783
"71","sp|Q13509|TBB3_HUMAN",34899884.4682618,36512600.4776292,7.2e+07,67829829.2351869,97073644.2805316,94888584.9847327,18083976.711493,192687199.720206,177254527.019735,217229640.619554,211808410.745696,158332285.78107,146515121.904435
"72","sp|P08779|K1C16_HUMAN",2505284.87361521,2816008.24173174,5299951.338,4528757.76233299,4641301.24401834,4233109.16660148,2229027.42537692,191330247.6095,178618023.381425,13096172.1095595,8021538.99339623,31666457.156214,34305979.7629896
"73","sp|P20700|LMNB1_HUMAN",813945.441445112,855894.576900659,1282470.134,1044485.39051502,1751670.86704114,1780822.55978988,415176.02238531,6765437.44555882,6587385.17627778,6035251.93327184,6581417.79261724,6549668.8967501,6096248.08895053
"74","sp|P14618|KPYM_HUMAN",13454823.8805272,13746559.4060122,16200000,13530124.4577453,22619990.6955578,22200348.1851073,5193831.43149929,66897739.0577899,62175434.0930763,69378768.9420593,72937251.1196874,91041064.3241151,94937034.2746622
"75","sp|Q9BVA1|TBB2B_HUMAN;sp|Q13885|TBB2A_HUMAN",52809035.708554,56507595.9772832,1.03e+08,94083646.8916067,152936779.196687,152179806.10759,24316574.4292921,305314224.908777,269972279.614673,267748161.69387,263052381.087397,232700480.617633,238235970.576317
"76","sp|P00738|HPT_HUMAN",91382592.2261065,85848078.5039495,2.5e+08,211464196.82304,57328397.4713328,68301877.6824066,59020811.7215828,76396403.8327296,74446901.3482887,84871115.4048492,98388423.0560655,104115472.771188,120309165.14104
"77","sp|P01009|A1AT_HUMAN",42798279.3742368,52704200.0941969,1.08e+08,98563820.5531118,57786292.0198259,59618676.9809736,21153058.9210153,35416450.0894182,35041856.4954399,51528891.4958013,53464542.3898411,71729323.4068786,70041375.3494371
"78","sp|P06733|ENOA_HUMAN",14878371.7996274,17658623.742901,21800000,19264746.7444718,24176832.1604343,23274558.5811609,6799197.51032634,102042798.725067,95172046.0459808,74262225.9792431,74474570.2299384,84803731.8539518,84812005.5251687
"79","sp|P13667|PDIA4_HUMAN",1568658.84948368,1836632.19517391,2737913.853,2390970.39619944,3594760.20852058,3158051.83621639,806641.590280517,10978915.8941044,10527036.7427756,18860247.8677443,21180841.0745696,18592048.7091408,18701523.6902409
"80","sp|P05164|PERM_HUMAN",6245242.48379422,6846112.58955547,12800000,10842020.2608423,6450237.68539876,6793149.84241095,7035280.75721267,107470607.16789,108807009.662884,13628627.679381,13791653.5975815,33225790.2737548,33114799.910108
"81","sp|P08107|HSP71_HUMAN;sp|P34931|HS71L_HUMAN",17266258.6316664,17821626.4236047,42500000,33422095.5148279,55954713.8258536,44669248.9692279,11379212.4999212,90237315.3619275,75946747.346148,79987658.3676654,131013750.840282,106994241.603571,121500344.993922
"82","sp|Q9UPN3|MACF1_HUMAN",484954.942990504,494630.777744624,1601421.251,1476264.87976127,1882845.43306312,1862662.09700347,319215.226069687,2071475.11987532,1800265.25349274,1992530.44872565,2021744.5788996,1130160.31763056,1222173.2508122
"83","sp|P53621|COPA_HUMAN",1321795.47047454,1296015.56625014,2557555.774,2338901.0508997,3346663.72747714,3335244.18380843,694710.153030808,6759714.60587418,6534749.12814812,11606147.4281575,13080413.1008265,9143132.30735389,9495555.48104856
"84","sp|P15311|EZRI_HUMAN",2655193.91129283,3746472.65526704,6697170.873,5665420.50197527,10256837.8862448,9130788.36645541,1802786.3515205,12054407.9721517,13070815.4019626,12688750.0915746,12278352.9752196,10520097.8159383,11211653.1838777
"85","sp|P19012|K1C15_HUMAN;sp|K1C15_SHEEP|",3041527.21643303,3471451.41957589,6890090.017,5605491.94195486,6159089.1108853,6008134.74640836,3227549.3215783,222540146.155731,216795921.508753,22228149.2726986,17062767.4675112,33345738.9751041,34901569.6894304
"86","sp|Q99715|COCA1_HUMAN",385460.207888245,386723.573791159,1776078.224,1524011.8467,1763655.43080619,1760807.01590299,333414.409797648,5988481.29231575,5239975.29966736,8527774.32918902,8127576.34597722,1927338.16823911,1995385.43808747
"87","sp|Q05682|CALD1_HUMAN",2591057.86230068,2755598.03122631,6151477.567,4920705.18254357,8291807.13017707,8296165.83153416,1103764.75510693,7744184.58751891,7273247.70603082,22059754.2024509,22034907.2469313,4859281.99318908,5110265.98411436
"88","sp|P29401|TKT_HUMAN",9827072.73185266,11681858.7837653,9015534.244,7997659.0857269,15934730.287559,14949428.0117456,6468680.96468548,45457895.7086402,39268695.2166798,35362964.7520205,32625327.7842162,55656197.426073,55508981.1442818
"89","sp|P68133|ACTS_HUMAN;sp|P62736|ACTA_HUMAN",375173758.033814,409136728.566291,8.59e+08,869153690.331985,1108104807.35324,1306955981.86519,256858572.612328,1791176786.13149,1799815197.43116,2054419857.02214,2083921460.5625,1066343954.99524,1150679737.88361
"90","sp|P63267|ACTH_HUMAN",352213307.725747,389576406.881847,8e+08,818079710.590828,1053157461.53407,1253245462.06251,237027579.873877,1669051096.16798,1677100524.87903,1987061828.92306,2015596166.77356,941597305.591968,1025605853.33104
"91","sp|P13796|PLSL_HUMAN",8173920.30967184,9943163.5229258,10800000,9677175.10885097,15202099.00997,16381708.5398171,3104763.18883811,37723268.6776178,40904890.8507081,40078026.7189566,43044935.0870286,25908919.4914478,28230962.5132935
"92","sp|P68032|ACTC_HUMAN;sp|P62736|ACTA_HUMAN",368744831.947555,403159963.607155,8.23e+08,840480578.898353,1098946916.38338,1298004228.56474,244582243.774239,1750468222.81032,1786180233.81425,2037580349.99737,2083921460.5625,1037556266.6714,1120900241.56157
"93","sp|P07951|TPM2_HUMAN",1371157.45974806,1582533.49239648,2522928.39,2282737.83312034,4920965.45052943,5443572.50238873,482221.15554993,3269587.77646263,3008092.70269092,6682082.94025758,5606931.4551218,2825032.01329345,2728854.6516764
"94","sp|P04350|TBB4A_HUMAN;sp|A6NNZ2|TBB8L_HUMAN",39400132.7286429,42815370.7981723,75300000,67561018.8154966,108978902.541351,111896916.255581,17045210.4251931,215755385.602203,192252986.998328,191970380.082397,194727087.298463,160731259.808056,173912258.520711
"95","sp|P06576|ATPB_HUMAN",12214959.5638916,13963896.3136171,19300000,19354350.2177019,20971570.3209828,21394690.3880671,5429914.67838562,46679152.6082753,46904274.8421453,51865681.6362967,51927223.2795901,55416300.0233744,52531031.5120778
"96","sp|Q01518|CAP1_HUMAN",1578047.28760968,1846629.78746529,2549681.422,2508587.49302796,3722451.06611238,3595547.81466466,879977.068399974,6975207.89210534,7057516.49247204,7772885.22609945,7726449.2253858,8347320.54662751,8302455.05911068
"97","sp|P00450|CERU_HUMAN",4638010.96222953,5331987.12601799,11600000,9229157.74270047,7156978.93119511,8099181.39282596,4151772.28676268,8650127.50490876,7532538.52285807,10765264.6190828,13778054.0405747,11691998.6948371,12864742.4111211
"98","sp|O75083|WDR1_HUMAN",2864001.89420595,2934561.08300718,3642258.397,3821986.3526037,7285553.52343392,7491337.5728833,1380416.6472375,16961901.383821,17316403.7934664,12587586.3506591,11897048.1292261,14513792.8632647,13817686.2934264
"99","sp|O15230|LAMA5_HUMAN",825305.307000213,1008547.51269156,2973977.383,2303677.04297873,4097792.96493084,3778215.88171725,587671.178921117,1391369.00408826,1245987.64955178,4167738.74921172,4627004.77760118,1597607.13483137,1464270.8525593
"100","sp|P35221|CTNA1_HUMAN;sp|P26232|CTNA2_HUMAN",1487264.24417253,1886532.60191425,5031962.176,4118367.00833773,5140879.1457655,4597781.90775377,1273581.18255262,5792489.1543128,5901401.36352337,5211687.80781409,5789325.07360499,4925952.21502992,5230969.59416952
"101","sp|P55268|LAMB2_HUMAN",1312669.07445739,1473514.72844623,4315787.99,3652667.73362909,5926217.81131602,6306511.91353013,1024414.0732224,2034274.90060134,1888738.5673554,4604129.50843496,4976466.44277856,2680081.22982413,2658200.49052817
"102","sp|P04406|G3P_HUMAN",17863230.3396761,24287399.4248515,31800000,27866680.1745616,44232613.3844309,45206354.1672547,14542728.008198,184545487.055972,177254527.019735,145493340.694027,155610856.604298,229102019.577154,223941812.341738
"103","sp|P48668|K2C6C_HUMAN;sp|O95678|K2C75_HUMAN;sp|Q14CN4|K2C72_HUMAN",9918914.53308493,11790527.2375678,28700000,28314697.5407121,26741041.6319955,26049602.1042993,5477131.32776289,1451938758.45507,1636195634.02832,147850871.677495,120081703.834052,629730682.0838,748060947.609634
"104","sp|Q9NZN4|EHD2_HUMAN",3949086.43461819,4886445.40971384,13200000,10483606.3679219,18407360.8494216,18261576.7329108,1747306.60199645,2445701.84969815,2260751.25232775,6052973.96686472,6472945.3470632,3488264.88464301,3621011.8053662
"105","sp|P09493|TPM1_HUMAN",1454487.16859671,1850320.83864078,3204637.437,2726420.20026064,4213069.84433424,4783296.92865894,1020900.5151953,2914290.2802619,3008193.90548137,8290071.60660531,7786407.09452539,2444931.10644909,2441769.25179172
"106","sp|P08133|ANXA6_HUMAN",3532905.18008197,4495504.82307368,12300000,10394002.8946918,19506307.7658049,17634954.0018796,4768881.58710389,14112301.951339,14589411.0700859,21722964.0619555,23913852.826127,19671587.0212844,20369175.4842751
"107","sp|P25705|ATPA_HUMAN",8265762.11090411,8367470.94279002,10800000,10662813.3143821,15385256.8293673,15217980.610759,3338148.31395375,28088908.6916075,24270235.2380868,33173828.8388002,35358339.5357735,33105841.5724055,31208912.1454975
"108","sp|Q13835|PKP1_HUMAN",380211.125435076,437578.624096007,1453943.125,1204539.68955197,747392.995143191,746292.162044797,725028.570802061,13840911.5291979,13907662.8892408,2527306.95728191,2483690.21282062,4432488.08681364,4434883.88654901
"109","sp|Q9NZM1|MYOF_HUMAN",702351.147793125,876472.579741648,1386687.588,1334284.83332258,1053974.79597682,1088385.21005355,822906.236777864,2727903.42547512,2707200.06430013,3369479.6170243,3326572.70807598,2510503.46781366,3002989.25474384
"110","sp|Q9HBL0|TENS1_HUMAN",1213075.89316405,1335019.01123494,4625831.824,3786836.70570914,6258899.36010332,5948965.49578253,748306.26090343,814858.799184232,885836.840799985,3537275.74810591,4215880.25390299,1397708.62734204,1404374.63809005
